league,season,club,manager,manager_id,games,share,growth_m,attributed_m
Eerste Divisie,22/23,ADO Den Haag,Dick Advocaat,3,22,0.5789473684210527,0.3250000000000002,0.18815789473684222
Eerste Divisie,22/23,ADO Den Haag,Dirk Kuyt,58167,16,0.42105263157894735,0.3250000000000002,0.13684210526315796
Eerste Divisie,22/23,Almere City,Alex Pastoor,3801,38,1.0,0.7,0.7
Eerste Divisie,22/23,De Graafschap,Adrie Poldervaart,37913,38,1.0,0.7750000000000001,0.7750000000000001
Eerste Divisie,22/23,Den Bosch,Jack de Gier,12006,27,0.8181818181818182,0.07500000000000001,0.06136363636363638
Eerste Divisie,22/23,Den Bosch,Tomasz Kaczmarek,10813,6,0.18181818181818182,0.07500000000000001,0.01363636363636364
Eerste Divisie,22/23,Dordrecht,Michele Santoni,42188,38,1.0,0.76,0.76
Eerste Divisie,22/23,Eindhoven,Rob Penders,36561,38,1.0,1.025,1.025
Eerste Divisie,22/23,Helmond Sport,Bob Peeters,14119,20,0.625,0.17500000000000004,0.10937500000000003
Eerste Divisie,22/23,Helmond Sport,Sven Swinnen,87260,12,0.375,0.17500000000000004,0.06562500000000002
Eerste Divisie,22/23,Heracles,John Lammers,19477,38,1.0,2.625,2.625
Eerste Divisie,22/23,Jong AZ,Maarten Martens,49088,38,1.0,8.55,8.55
Eerste Divisie,22/23,Jong Ajax,Dave Vos,59827,14,0.4,1.5500000000000003,0.6200000000000001
Eerste Divisie,22/23,Jong Ajax,John Heitinga,51774,21,0.6,1.5500000000000003,0.9300000000000002
Eerste Divisie,22/23,Jong PSV,Adil Ramzi,54169,38,1.0,8.925,8.925
Eerste Divisie,22/23,Jong Utrecht,Darije Kalezic,9382,38,1.0,-0.10000000000000026,-0.10000000000000026
Eerste Divisie,22/23,MVV,Maurice Verberne,17135,38,1.0,0.8250000000000001,0.8250000000000001
Eerste Divisie,22/23,NAC Breda,Peter Hyballa,4853,18,0.5,1.325,0.6625
Eerste Divisie,22/23,NAC Breda,Robert Molenaar,19836,18,0.5,1.325,0.6625
Eerste Divisie,22/23,PEC Zwolle,Dick Schreuder,33196,38,1.0,0.8000000000000002,0.8000000000000002
Eerste Divisie,22/23,Roda JC,Edwin de Graaf,33856,18,0.5142857142857142,4.3,2.2114285714285713
Eerste Divisie,22/23,Roda JC,Jürgen Streppel,7032,17,0.4857142857142857,4.3,2.0885714285714285
Eerste Divisie,22/23,TOP Oss,Klaas Wels,30770,15,0.46875,0.4,0.1875
Eerste Divisie,22/23,TOP Oss,Kristof Aelbrecht,54168,17,0.53125,0.4,0.21250000000000002
Eerste Divisie,22/23,Telstar,Mike Snoei,497,38,1.0,0.55,0.55
Eerste Divisie,22/23,VVV-Venlo,Rick Kruys,58257,38,1.0,0.7250000000000001,0.7250000000000001
Eerste Divisie,22/23,Willem II,Kevin Hofland,34709,17,0.4594594594594595,-0.625,-0.28716216216216217
Eerste Divisie,22/23,Willem II,Reinier Robbemond,23753,20,0.5405405405405406,-0.625,-0.33783783783783783
Eerste Divisie,23/24,ADO Den Haag,Darije Kalezic,9382,38,1.0,0.925,0.925
Eerste Divisie,23/24,Cambuur,Henk de Jong,3797,29,0.7631578947368421,0.375,0.2861842105263158
Eerste Divisie,23/24,Cambuur,Sjors Ultee,35586,9,0.23684210526315788,0.375,0.08881578947368421
Eerste Divisie,23/24,De Graafschap,Jan Vreman,3864,38,1.0,1.85,1.85
Eerste Divisie,23/24,Den Bosch,Tomasz Kaczmarek,10813,33,1.0,0.44999999999999996,0.44999999999999996
Eerste Divisie,23/24,Dordrecht,Michele Santoni,42188,38,1.0,1.5750000000000002,1.5750000000000002
Eerste Divisie,23/24,Eindhoven,Willem Weijs,55110,38,1.0,0.12500000000000008,0.12500000000000008
Eerste Divisie,23/24,Emmen,Fred Grim,17475,33,1.0,-0.4749999999999999,-0.4749999999999999
Eerste Divisie,23/24,Groningen,Dick Lukkien,2208,38,1.0,4.4750000000000005,4.4750000000000005
Eerste Divisie,23/24,Helmond Sport,Bob Peeters,14119,33,1.0,-0.6000000000000001,-0.6000000000000001
