league,season,club,team_id,growth_m,n_matched,prev_value_m,value_m,n_squad,growth_pct
Eerste Divisie,22/23,ADO Den Haag,1268,0.3250000000000002,30,7.2749999999999995,7.6000000000000005,36,0.04467353951890037
Eerste Divisie,22/23,Almere City,723,0.7,25,5.3,6.0,35,0.1320754716981132
Eerste Divisie,22/23,De Graafschap,642,0.7750000000000001,25,5.9,6.675,33,0.13135593220338984
Eerste Divisie,22/23,Den Bosch,404,0.07500000000000001,23,4.4,4.475,31,0.017045454545454548
Eerste Divisie,22/23,Dordrecht,1455,0.76,22,3.825,4.585,33,0.19869281045751633
Eerste Divisie,22/23,Eindhoven,3892,1.025,20,4.675,5.7,27,0.2192513368983957
Eerste Divisie,22/23,Helmond Sport,500,0.17500000000000004,19,4.9,5.075,29,0.03571428571428572
Eerste Divisie,22/23,Heracles,1304,2.625,24,8.775,11.4,32,0.29914529914529914
Eerste Divisie,22/23,Jong AZ,11368,8.55,25,8.05,16.6,35,1.062111801242236
Eerste Divisie,22/23,Jong Ajax,8817,1.5500000000000003,17,22.549999999999997,24.1,32,0.06873614190687363
Eerste Divisie,22/23,Jong PSV,9715,8.925,22,20.5,29.425,39,0.43536585365853664
Eerste Divisie,22/23,Jong Utrecht,17596,-0.10000000000000026,26,9.475,9.375,36,-0.01055408970976256
Eerste Divisie,22/23,MVV,384,0.8250000000000001,19,3.775,4.6,26,0.21854304635761593
Eerste Divisie,22/23,NAC Breda,132,1.325,25,6.15,7.4750000000000005,36,0.2154471544715447
Eerste Divisie,22/23,PEC Zwolle,1269,0.8000000000000002,22,9.075,9.875,36,0.08815426997245182
Eerste Divisie,22/23,Roda JC,192,4.3,25,7.275,11.575,30,0.5910652920962198
Eerste Divisie,22/23,TOP Oss,1228,0.4,28,5.8,6.2,32,0.06896551724137931
Eerste Divisie,22/23,Telstar,1434,0.55,20,2.75,3.3,27,0.2
Eerste Divisie,22/23,VVV-Venlo,1426,0.7250000000000001,24,6.45,7.175,27,0.1124031007751938
Eerste Divisie,22/23,Willem II,403,-0.625,23,10.0,9.375,28,-0.0625
Eerste Divisie,23/24,ADO Den Haag,1268,0.925,19,5.05,5.9750000000000005,33,0.1831683168316832
Eerste Divisie,23/24,Cambuur,133,0.375,20,7.925,8.3,31,0.04731861198738171
Eerste Divisie,23/24,De Graafschap,642,1.85,22,5.15,7.0,32,0.3592233009708738
Eerste Divisie,23/24,Den Bosch,404,0.44999999999999996,18,3.325,3.775,33,0.13533834586466165
Eerste Divisie,23/24,Dordrecht,1455,1.5750000000000002,18,3.625,5.2,31,0.4344827586206897
Eerste Divisie,23/24,Eindhoven,3892,0.12500000000000008,19,5.5,5.625,27,0.022727272727272742
Eerste Divisie,23/24,Emmen,1283,-0.4749999999999999,25,8.8,8.325,30,-0.053977272727272714
Eerste Divisie,23/24,Groningen,202,4.4750000000000005,21,15.175,19.650000000000002,33,0.29489291598023065
Eerste Divisie,23/24,Helmond Sport,500,-0.6000000000000001,18,5.2,4.6,27,-0.11538461538461539
Eerste Divisie,23/24,Jong AZ,11368,12.725,30,15.5,28.225,41,0.8209677419354838
Eerste Divisie,23/24,Jong Ajax,8817,16.8,20,24.675,41.475,40,0.6808510638297872
Eerste Divisie,23/24,Jong PSV,9715,8.850000000000001,21,21.5,30.35,38,0.41162790697674423
Eerste Divisie,23/24,Jong Utrecht,17596,1.7,16,3.275,4.975,36,0.5190839694656488
Eerste Divisie,23/24,MVV,384,1.925,15,3.025,4.95,28,0.6363636363636364
Eerste Divisie,23/24,NAC Breda,132,1.8250000000000002,23,6.1,7.925,34,0.2991803278688525
Eerste Divisie,23/24,Roda JC,192,1.35,17,4.775,6.125,30,0.28272251308900526
Eerste Divisie,23/24,TOP Oss,1228,-0.17499999999999993,17,3.8,3.625,31,-0.04605263157894735
Eerste Divisie,23/24,Telstar,1434,-0.15000000000000002,20,4.225,4.075,28,-0.035502958579881665
Eerste Divisie,23/24,VVV-Venlo,1426,1.25,20,4.475,5.7250000000000005,28,0.2793296089385475
Eerste Divisie,23/24,Willem II,403,0.7749999999999999,20,7.425,8.2,26,0.10437710437710437
Eerste Divisie,24/25,ADO Den Haag,1268,-0.4250000000000001,17,5.575,5.15,30,-0.07623318385650225
Eerste Divisie,24/25,Cambuur,133,0.6,23,7.5,8.1,32,0.08
Eerste Divisie,24/25,De Graafschap,642,0.7,25,6.8,7.5,32,0.10294117647058823
Eerste Divisie,24/25,Den Bosch,404,1.15,21,4.525,5.675,33,0.25414364640883974
Eerste Divisie,24/25,Dordrecht,1455,1.9,17,5.15,7.05,37,0.3689320388349514
Eerste Divisie,24/25,Eindhoven,3892,-0.4,17,5.125,4.725,25,-0.07804878048780488
Eerste Divisie,24/25,Emmen,1283,-0.32499999999999996,11,2.35,2.025,27,-0.1382978723404255
Eerste Divisie,24/25,Excelsior,798,-0.2000000000000002,21,10.35,10.15,30,-0.01932367149758456
Eerste Divisie,24/25,Helmond Sport,500,-0.07499999999999993,15,3.85,3.775,26,-0.019480519480519463
Eerste Divisie,24/25,Jong AZ,11368,28.95,28,19.675,48.625,47,1.47141041931385
Eerste Divisie,24/25,Jong Ajax,8817,-22.975,24,62.0,39.025,37,-0.3705645161290323
