league,season,team_id,player_id,player_name,position,age,value_m,prev_value_m,growth,club
Eredivisie,22/23,610,480453,Jay Gorter,Goalkeeper,23,1.0,1.5,-0.5,Ajax
Eredivisie,22/23,610,25520,Remko Pasveer,Goalkeeper,39,0.25,0.25,0.0,Ajax
Eredivisie,22/23,610,4311,Maarten Stekelenburg,Goalkeeper,40,0.075,0.2,-0.125,Ajax
Eredivisie,22/23,610,418543,Perr Schuurs,Centre-Back,23,25.0,7.0,18.0,Ajax
Eredivisie,22/23,610,12282,Daley Blind,Centre-Back,33,3.0,9.0,-6.0,Ajax
Eredivisie,22/23,610,66736,Lisandro Magallán,Centre-Back,29,1.8,2.5,-0.7,Ajax
Eredivisie,22/23,610,559327,Youri Baas,Centre-Back,20,0.9,0.45,0.45,Ajax
Eredivisie,22/23,610,339328,Owen Wijndal,Left-Back,23,8.0,12.0,-4.0,Ajax
Eredivisie,22/23,610,420243,Jurriën Timber,Right-Back,22,42.0,35.0,7.0,Ajax
Eredivisie,22/23,610,557407,Devyne Rensch,Right-Back,20,8.0,8.0,0.0,Ajax
Eredivisie,22/23,610,268113,Sean Klaiber,Right-Back,28,2.5,2.8,-0.2999999999999998,Ajax
Eredivisie,22/23,610,401356,Edson Álvarez,Defensive Midfield,25,35.0,22.0,13.0,Ajax
Eredivisie,22/23,610,559324,Youri Regeer,Defensive Midfield,19,1.3,2.4,-1.0999999999999999,Ajax
Eredivisie,22/23,610,508636,Donny Warmerdam,Defensive Midfield,21,0.25,0.25,0.0,Ajax
Eredivisie,22/23,610,470394,Kenneth Taylor,Central Midfield,21,12.0,4.5,7.5,Ajax
Eredivisie,22/23,610,182932,Davy Klaassen,Central Midfield,30,10.0,14.0,-4.0,Ajax
Eredivisie,22/23,610,559333,Kian Fitz-Jim,Central Midfield,19,1.3,0.8,0.5,Ajax
Eredivisie,22/23,610,36139,Dusan Tadic,Attacking Midfield,34,6.0,12.0,-6.0,Ajax
Eredivisie,22/23,610,400548,Victor Jensen,Attacking Midfield,23,1.0,0.8,0.19999999999999996,Ajax
Eredivisie,22/23,610,694186,Kristian Hlynsson,Attacking Midfield,19,0.75,0.45,0.3,Ajax
Eredivisie,22/23,610,574385,Mohamed Daramy,Left Winger,21,6.0,6.0,0.0,Ajax
Eredivisie,22/23,610,508639,Naci Ünüvar,Left Winger,20,2.5,3.5,-1.0,Ajax
Eredivisie,22/23,610,602105,Antony,Right Winger,23,60.0,35.0,25.0,Ajax
Eredivisie,22/23,610,543499,Mohammed Kudus,Right Winger,22,40.0,10.0,30.0,Ajax
Eredivisie,22/23,610,129554,Steven Berghuis,Right Winger,31,12.0,14.0,-2.0,Ajax
Eredivisie,22/23,610,610429,Christian Rasmussen,Right Winger,20,0.8,0.65,0.15000000000000002,Ajax
Eredivisie,22/23,610,473169,Brian Brobbey,Centre-Forward,21,12.0,9.0,3.0,Ajax
Eredivisie,22/23,383,333640,Joël Drommel,Goalkeeper,26,2.5,3.5,-1.0,PSV
Eredivisie,22/23,383,654919,Kjell Peersman,Goalkeeper,19,0.4,0.2,0.2,PSV
Eredivisie,22/23,383,318508,Olivier Boscagli,Centre-Back,25,7.0,8.0,-1.0,PSV
Eredivisie,22/23,383,339337,Armando Obispo,Centre-Back,24,4.5,3.0,1.5,PSV
Eredivisie,22/23,383,175792,André Ramalho,Centre-Back,31,3.0,3.5,-0.5,PSV
Eredivisie,22/23,383,617755,Jenson Seelt,Centre-Back,20,0.6,0.4,0.19999999999999996,PSV
Eredivisie,22/23,383,660746,Fedde Leysen,Centre-Back,19,0.475,0.25,0.22499999999999998,PSV
Eredivisie,22/23,383,738481,Emmanuel van de Blaak,Centre-Back,18,0.4,0.4,0.0,PSV
Eredivisie,22/23,383,323910,Mauro Júnior,Left-Back,24,5.0,6.0,-1.0,PSV
Eredivisie,22/23,383,111275,Philipp Max,Left-Back,29,3.0,8.0,-5.0,PSV
Eredivisie,22/23,383,127573,Phillipp Mwene,Left-Back,29,3.0,3.0,0.0,PSV
Eredivisie,22/23,383,539665,Fredrik Oppegård,Left-Back,20,0.65,0.4,0.25,PSV
Eredivisie,22/23,383,364245,Jordan Teze,Right-Back,23,6.0,8.0,-2.0,PSV
Eredivisie,22/23,383,575367,Richard Ledezma,Right-Back,22,0.85,0.85,0.0,PSV
Eredivisie,22/23,383,626764,Livano Comenencia,Right-Back,19,0.5,0.35,0.15000000000000002,PSV
Eredivisie,22/23,383,375885,Ibrahim Sangaré,Defensive Midfield,25,35.0,24.0,11.0,PSV
Eredivisie,22/23,383,408574,Joey Veerman,Central Midfield,24,16.0,14.0,2.0,PSV
Eredivisie,22/23,383,298796,Érick Gutiérrez,Central Midfield,28,6.0,7.0,-1.0,PSV
Eredivisie,22/23,383,147034,Marco van Ginkel,Central Midfield,30,1.3,1.75,-0.44999999999999996,PSV
Eredivisie,22/23,383,608889,Mathijs Tielemans,Central Midfield,21,0.5,0.25,0.25,PSV
Eredivisie,22/23,383,372267,Guus Til,Attacking Midfield,25,6.0,7.5,-1.5,PSV
Eredivisie,22/23,383,702869,Ismael Saibari,Attacking Midfield,22,2.3,0.45,1.8499999999999999,PSV
Eredivisie,22/23,383,640565,Mohamed Nassoh,Attacking Midfield,20,0.6,0.15,0.44999999999999996,PSV
Eredivisie,22/23,383,434675,Cody Gakpo,Left Winger,24,55.0,30.0,25.0,PSV
Eredivisie,22/23,383,503987,Noni Madueke,Right Winger,21,30.0,18.0,12.0,PSV
Eredivisie,22/23,383,565424,Johan Bakayoko,Right Winger,20,10.0,3.0,7.0,PSV
Eredivisie,22/23,383,525287,Carlos Vinícius,Centre-Forward,28,6.0,8.0,-2.0,PSV
Eredivisie,22/23,383,409517,Yorbe Vertessen,Centre-Forward,22,3.8,4.5,-0.7000000000000002,PSV
Eredivisie,22/23,383,594039,Fodé Fofana,Centre-Forward,20,0.35,0.35,0.0,PSV
Eredivisie,22/23,234,315121,Justin Bijlow,Goalkeeper,25,15.0,13.0,2.0,Feyenoord
Eredivisie,22/23,234,196829,Timon Wellenreuther,Goalkeeper,27,2.0,0.8,1.2,Feyenoord
Eredivisie,22/23,234,514287,Thijs Jansen,Goalkeeper,21,0.45,0.05,0.4,Feyenoord
Eredivisie,22/23,234,112008,Ofir Marciano,Goalkeeper,33,0.4,0.5,-0.09999999999999998,Feyenoord
Eredivisie,22/23,234,554530,Tein Troost,Goalkeeper,21,0.1,0.1,0.0,Feyenoord
Eredivisie,22/23,234,600677,Jaimy Kroesen,Goalkeeper,20,0.05,0.05,0.0,Feyenoord
Eredivisie,22/23,234,420210,Lutsharel Geertruida,Centre-Back,22,25.0,12.0,13.0,Feyenoord
Eredivisie,22/23,234,59145,Gernot Trauner,Centre-Back,31,5.0,5.0,0.0,Feyenoord
Eredivisie,22/23,234,283233,Jacob Rasmussen,Centre-Back,26,3.0,3.0,0.0,Feyenoord
Eredivisie,22/23,234,503640,Neraysho Kasanwirjo,Centre-Back,21,2.5,2.5,0.0,Feyenoord
Eredivisie,22/23,234,415381,Mats Wieffer,Right-Back,23,15.0,0.4,14.6,Feyenoord
Eredivisie,22/23,234,583404,Marcus Pedersen,Right-Back,22,7.0,4.5,2.5,Feyenoord
Eredivisie,22/23,234,591880,Mimeirhel Benita,Right-Back,19,0.7,0.1,0.6,Feyenoord
Eredivisie,22/23,234,454567,Orkun Kökçü,Central Midfield,22,35.0,22.0,13.0,Feyenoord
Eredivisie,22/23,234,223367,Fredrik Aursnes,Central Midfield,27,20.0,12.0,8.0,Feyenoord
Eredivisie,22/23,234,420213,Quinten Timber,Central Midfield,22,8.0,4.0,4.0,Feyenoord
Eredivisie,22/23,234,205004,Jorrit Hendrix,Central Midfield,28,1.2,1.8,-0.6000000000000001,Feyenoord
Eredivisie,22/23,234,605144,Cole Bassett,Attacking Midfield,21,2.0,4.0,-2.0,Feyenoord
Eredivisie,22/23,234,683620,Antoni Milambo,Attacking Midfield,18,1.0,1.0,0.0,Feyenoord
Eredivisie,22/23,234,134999,Jens Toornstra,Attacking Midfield,34,0.75,1.2,-0.44999999999999996,Feyenoord
Eredivisie,22/23,234,485591,Mohamed Taabouni,Left Winger,21,0.7,0.85,-0.15000000000000002,Feyenoord
Eredivisie,22/23,234,213268,Alireza Jahanbakhsh,Right Winger,29,4.0,3.5,0.5,Feyenoord
Eredivisie,22/23,234,721470,Patrik Wålemark,Right Winger,21,4.0,3.5,0.5,Feyenoord
Eredivisie,22/23,234,519731,Danilo,Centre-Forward,24,6.5,4.0,2.5,Feyenoord
Eredivisie,22/23,1090,395421,Peter Vindahl,Goalkeeper,25,0.65,0.9,-0.25,AZ
Eredivisie,22/23,1090,116471,Hobie Verhulst,Goalkeeper,30,0.6,0.425,0.175,AZ
Eredivisie,22/23,1090,595935,Sem Westerveld,Goalkeeper,20,0.5,0.25,0.25,AZ
Eredivisie,22/23,1090,635371,Daniël Deen,Goalkeeper,20,0.075,0.025,0.049999999999999996,AZ
Eredivisie,22/23,1090,433984,Sam Beukema,Centre-Back,24,4.5,1.0,3.5,AZ
Eredivisie,22/23,1090,144244,Pantelis Hatzidiakos,Centre-Back,26,4.0,2.5,1.5,AZ
Eredivisie,22/23,1090,216443,Riechedly Bazoer,Centre-Back,26,2.8,5.0,-2.2,AZ
Eredivisie,22/23,1090,112052,Bruno Martins Indi,Centre-Back,31,2.0,2.2,-0.20000000000000018,AZ
Eredivisie,22/23,1090,646707,Wouter Goes,Centre-Back,19,2.0,0.1,1.9,AZ
Eredivisie,22/23,1090,646704,Maxim Dekker,Centre-Back,19,1.5,0.4,1.1,AZ
Eredivisie,22/23,1090,801031,Lewis Schouten,Centre-Back,19,0.3,0.15,0.15,AZ
Eredivisie,22/23,1090,730861,Milos Kerkez,Left-Back,19,15.0,0.7,14.3,AZ
Eredivisie,22/23,1090,315254,Mees de Wit,Left-Back,25,1.5,1.5,0.0,AZ
Eredivisie,22/23,1090,405385,Yukinari Sugawara,Right-Back,23,6.5,3.0,3.5,AZ
Eredivisie,22/23,1090,313944,Aslak Witry,Right-Back,27,1.4,1.2,0.19999999999999996,AZ
Eredivisie,22/23,1090,361078,Robin Lathouwers,Right-Back,23,0.15,0.15,0.0,AZ
Eredivisie,22/23,1090,104223,Jordy Clasie,Defensive Midfield,32,3.0,2.5,0.5,AZ
Eredivisie,22/23,1090,361074,Peer Koopmeiners,Defensive Midfield,23,0.7,0.6,0.09999999999999998,AZ
Eredivisie,22/23,1090,460939,Tijjani Reijnders,Central Midfield,24,14.0,1.5,12.5,AZ
Eredivisie,22/23,1090,136180,Fredrik Midtsjø,Central Midfield,29,5.0,6.0,-1.0,AZ
Eredivisie,22/23,1090,340459,Dani de Wit,Central Midfield,25,4.0,3.5,0.5,AZ
Eredivisie,22/23,1090,394688,Håkon Evjen,Central Midfield,23,1.8,1.8,0.0,AZ
Eredivisie,22/23,1090,595940,Zico Buurmeester,Central Midfield,21,0.55,0.55,0.0,AZ
Eredivisie,22/23,1090,345590,Jens Odgaard,Attacking Midfield,24,6.0,2.0,4.0,AZ
Eredivisie,22/23,1090,578804,Sven Mijnans,Attacking Midfield,23,4.0,0.85,3.15,AZ
Eredivisie,22/23,1090,559335,Fedde de Jong,Attacking Midfield,20,0.65,0.65,0.0,AZ
Eredivisie,22/23,1090,367992,Jesper Karlsson,Left Winger,24,18.0,14.0,4.0,AZ
Eredivisie,22/23,1090,650712,Myron van Brederode,Left Winger,19,3.0,0.2,2.8,AZ
Eredivisie,22/23,1090,515396,Iman Griffith,Right Winger,21,0.5,0.5,0.0,AZ
Eredivisie,22/23,1090,324503,Vangelis Pavlidis,Centre-Forward,24,14.0,6.0,8.0,AZ
Eredivisie,22/23,1090,678546,Mexx Meerdink,Centre-Forward,19,1.5,0.15,1.35,AZ
Eredivisie,22/23,1090,566271,Yusuf Barası,Centre-Forward,20,0.6,0.5,0.09999999999999998,AZ
Eredivisie,22/23,1090,339327,Jelle Duin,Centre-Forward,24,0.35,0.2,0.14999999999999997,AZ
Eredivisie,22/23,317,53696,Lars Unnerstall,Goalkeeper,32,3.2,2.0,1.2000000000000002,Twente
Eredivisie,22/23,317,33210,Przemyslaw Tyton,Goalkeeper,36,0.15,0.3,-0.15,Twente
Eredivisie,22/23,317,430475,Issam El Maach,Goalkeeper,23,0.075,0.075,0.0,Twente
Eredivisie,22/23,317,562702,Mees Hilgers,Centre-Back,22,4.5,2.5,2.0,Twente
Eredivisie,22/23,317,202788,Robin Pröpper,Centre-Back,29,2.5,1.3,1.2,Twente
Eredivisie,22/23,317,251885,Julio Pleguezuelo,Centre-Back,26,1.5,1.3,0.19999999999999996,Twente
Eredivisie,22/23,317,618086,Max Bruns,Centre-Back,20,0.3,0.075,0.22499999999999998,Twente
Eredivisie,22/23,317,374212,Gijs Smal,Left-Back,25,6.0,1.4,4.6,Twente
Eredivisie,22/23,317,485584,Anass Salah-Eddine,Left-Back,21,0.8,0.3,0.5,Twente
Eredivisie,22/23,317,207006,Joshua Brenet,Right-Back,29,4.0,1.3,2.7,Twente
Eredivisie,22/23,317,588744,Luca Everink,Right-Back,22,0.15,0.15,0.0,Twente
Eredivisie,22/23,317,416660,Ramiz Zerrouki,Defensive Midfield,25,8.0,3.5,4.5,Twente
Eredivisie,22/23,317,528652,Mathias Kjølø,Defensive Midfield,22,1.2,0.65,0.5499999999999999,Twente
Eredivisie,22/23,317,596158,Casper Staring,Defensive Midfield,22,0.275,0.1,0.17500000000000002,Twente
Eredivisie,22/23,317,30003,Wout Brama,Defensive Midfield,36,0.1,0.2,-0.1,Twente
Eredivisie,22/23,317,321204,Michal Sadílek,Central Midfield,24,4.0,4.0,0.0,Twente
Eredivisie,22/23,317,342702,Michel Vlap,Attacking Midfield,26,2.0,2.0,0.0,Twente
