league,season,club,games,pts,gf,ga,xg,xga,xpts,est_share,season_len,partial,is_reserve,team_id,squad_value_m,pts_pg,xpts_pg,value_rank,xg_source,predicted_xpts_pg,predicted_xpts,club_skill,pts_vs_budget,luck,growth_m,growth_pct,n_matched,n_squad
Eerste Divisie,22/23,ADO Den Haag,38,51,51.0,57.0,52.1765891871496,44.59753799384177,57.126820967284104,1.0,38,False,False,1268,9.3,1.3421052631578947,1.5033373938758974,11.0,estimated,1.4677268040773344,55.77361855493871,1.3532024123453947,-4.773618554938707,-6.126820967284102,0.3250000000000002,0.04467353951890037,30.0,36.0
Eerste Divisie,22/23,Almere City,38,70,58.0,41.0,49.6702735004159,39.04350304221669,58.873690969687864,1.0,38,False,False,723,9.4,1.8421052631578947,1.549307657097049,10.0,estimated,1.4736798988816728,55.999836157503566,2.8738548121842937,14.00016384249643,11.126309030312136,0.7,0.1320754716981132,25.0,35.0
Eerste Divisie,22/23,De Graafschap,38,52,64.0,54.0,56.86801188500805,42.72118980421148,58.48288651215519,1.0,38,False,False,642,7.43,1.368421052631579,1.539023329267242,14.0,estimated,1.3427744484159014,51.02542903980425,7.4574574723509395,0.9745709601957468,-6.482886512155193,0.7750000000000001,0.13135593220338984,25.0,33.0
Eerste Divisie,22/23,Den Bosch,38,35,46.0,85.0,35.16840617284882,64.87433274962454,35.216651750693146,1.0,38,False,False,404,5.35,0.9210526315789473,0.9267539934392933,19.0,estimated,1.1599677262120494,44.07877359605788,-8.86212184536473,-9.078773596057877,-0.21665175069314713,0.07500000000000001,0.017045454545454548,23.0,31.0
Eerste Divisie,22/23,Dordrecht,38,35,41.0,68.0,39.45423155730577,60.31920719020309,39.355621322981484,1.0,38,False,False,1455,6.44,0.9210526315789473,1.0356742453416181,17.0,estimated,1.2631808455521158,48.000872130980405,-8.645250807998913,-13.000872130980403,-4.35562132298149,0.76,0.19869281045751633,22.0,33.0
Eerste Divisie,22/23,Eindhoven,38,58,58.0,54.0,45.73722371208167,39.794781286973866,56.01153327016418,1.0,38,False,False,3892,7.7,1.5263157894736843,1.4739877176358995,13.0,estimated,1.3626423138241957,51.78040792531944,4.231125344844747,6.219592074680568,1.988466729835821,1.025,0.2192513368983957,20.0,27.0
Eerste Divisie,22/23,Helmond Sport,38,43,39.0,57.0,37.0400819368158,43.38353629188064,47.849806452172174,1.0,38,False,False,500,6.5,1.131578947368421,1.2592054329518994,16.0,estimated,1.2683426357909244,48.19702016005513,-0.34721370788295314,-5.19702016005513,-4.849806452172176,0.17500000000000004,0.03571428571428572,19.0,29.0
Eerste Divisie,22/23,Heracles,38,85,103.0,42.0,62.97869252986126,38.9602374963948,67.04438794662093,1.0,38,False,False,1304,13.98,2.236842105263158,1.7643259985952877,5.0,estimated,1.694608079569859,64.39510702365465,2.6492809229662897,20.604892976345358,17.95561205337907,2.625,0.29914529914529914,24.0,32.0
Eerste Divisie,22/23,Jong AZ,38,51,60.0,58.0,44.91490649468565,48.29706220636442,49.041170003032995,1.0,38,False,True,11368,18.8,1.3421052631578947,1.2905571053429736,3.0,estimated,1.8594918983695357,70.66069213804235,-21.61952213500936,-19.660692138042357,1.9588299969670002,8.55,1.062111801242236,25.0,35.0
Eerste Divisie,22/23,Jong Ajax,38,46,69.0,72.0,48.780001698188585,62.671388343273776,45.70203787980195,1.0,38,False,True,8817,47.03,1.2105263157894737,1.2026852073632093,2.0,estimated,2.3698627888751314,90.054785977255,-44.35274809745304,-44.054785977254994,0.29796212019804713,1.5500000000000003,0.06873614190687363,17.0,32.0
