league,season,tm_name,slug,team_id,squad_size,avg_age,squad_value_m
Eredivisie,2021,Ajax Amsterdam,ajax-amsterdam,610,45,24.0,386.05
Eredivisie,2021,PSV Eindhoven,psv-eindhoven,383,40,24.4,210.78
Eredivisie,2021,Feyenoord Rotterdam,feyenoord-rotterdam,234,45,23.7,180.38
Eredivisie,2021,AZ Alkmaar,az-alkmaar,1090,38,23.0,99.23
Eredivisie,2021,Vitesse Arnhem,vitesse-arnheim,499,36,23.3,47.1
Eredivisie,2021,FC Utrecht,fc-utrecht,200,43,24.6,46.6
Eredivisie,2021,FC Groningen,fc-groningen,202,36,23.3,43.35
Eredivisie,2021,SC Heerenveen,sc-heerenveen,306,36,24.1,41.25
Eredivisie,2021,FC Twente Enschede,fc-twente-enschede,317,33,24.4,35.28
Eredivisie,2021,Sparta Rotterdam,sparta-rotterdam,468,39,25.8,20.93
Eredivisie,2021,Heracles Almelo,heracles-almelo,1304,37,24.1,18.35
Eredivisie,2021,Fortuna Sittard,fortuna-sittard,385,38,25.3,18.08
Eredivisie,2021,Willem II Tilburg,willem-ii-tilburg,403,37,24.7,15.6
Eredivisie,2021,NEC Nijmegen,nec-nijmegen,467,31,24.8,14.28
Eredivisie,2021,PEC Zwolle,pec-zwolle,1269,39,24.1,14.23
Eredivisie,2021,Go Ahead Eagles,go-ahead-eagles-deventer,1435,35,24.4,12.93
Eredivisie,2021,SC Cambuur Leeuwarden,sc-cambuur-leeuwarden,133,31,24.7,12.45
Eredivisie,2021,RKC Waalwijk,rkc-waalwijk,235,29,26.0,11.95
Eredivisie,2022,Ajax Amsterdam,ajax-amsterdam,610,43,24.1,390.38
Eredivisie,2022,PSV Eindhoven,psv-eindhoven,383,44,24.4,315.65
Eredivisie,2022,Feyenoord Rotterdam,feyenoord-rotterdam,234,36,24.2,267.8
Eredivisie,2022,AZ Alkmaar,az-alkmaar,1090,38,23.8,135.93
Eredivisie,2022,FC Twente Enschede,fc-twente-enschede,317,35,24.1,62.25
Eredivisie,2022,FC Utrecht,fc-utrecht,200,42,25.0,56.2
Eredivisie,2022,SC Heerenveen,sc-heerenveen,306,33,24.0,51.1
Eredivisie,2022,FC Groningen,fc-groningen,202,45,23.5,48.78
Eredivisie,2022,Vitesse Arnhem,vitesse-arnheim,499,32,24.3,43.7
Eredivisie,2022,Sparta Rotterdam,sparta-rotterdam,468,37,25.3,33.68
Eredivisie,2022,Fortuna Sittard,fortuna-sittard,385,34,25.7,25.4
Eredivisie,2022,NEC Nijmegen,nec-nijmegen,467,28,24.8,24.0
Eredivisie,2022,FC Volendam,fc-volendam,724,34,22.9,17.43
Eredivisie,2022,Go Ahead Eagles,go-ahead-eagles-deventer,1435,34,23.9,16.1
Eredivisie,2022,Excelsior Rotterdam,sbv-excelsior-rotterdam,798,31,23.8,15.85
Eredivisie,2022,SC Cambuur Leeuwarden,sc-cambuur-leeuwarden,133,36,26.1,15.6
Eredivisie,2022,FC Emmen,fc-emmen,1283,39,25.6,14.73
Eredivisie,2022,RKC Waalwijk,rkc-waalwijk,235,29,26.6,13.63
Eredivisie,2023,PSV Eindhoven,psv-eindhoven,383,35,25.3,373.7
Eredivisie,2023,Feyenoord Rotterdam,feyenoord-rotterdam,234,34,24.0,338.0
