league,season,team_id,team,player_id,player_name,position,age,value_m
Eredivisie,2021,610,Ajax Amsterdam,234509,André Onana,Goalkeeper,26,12.0
Eredivisie,2021,610,Ajax Amsterdam,480453,Jay Gorter,Goalkeeper,22,1.5
Eredivisie,2021,610,Ajax Amsterdam,33210,Przemyslaw Tyton,Goalkeeper,35,0.3
Eredivisie,2021,610,Ajax Amsterdam,25520,Remko Pasveer,Goalkeeper,38,0.25
Eredivisie,2021,610,Ajax Amsterdam,485588,Calvin Raatsie,Goalkeeper,20,0.2
Eredivisie,2021,610,Ajax Amsterdam,4311,Maarten Stekelenburg,Goalkeeper,39,0.2
Eredivisie,2021,610,Ajax Amsterdam,635129,Charlie Setford,Goalkeeper,18,0.2
Eredivisie,2021,610,Ajax Amsterdam,480762,Lisandro Martínez,Centre-Back,24,32.0
Eredivisie,2021,610,Ajax Amsterdam,12282,Daley Blind,Centre-Back,32,9.0
Eredivisie,2021,610,Ajax Amsterdam,418543,Perr Schuurs,Centre-Back,22,7.0
Eredivisie,2021,610,Ajax Amsterdam,66736,Lisandro Magallán,Centre-Back,28,2.5
Eredivisie,2021,610,Ajax Amsterdam,412933,Liam van Gelderen,Centre-Back,21,0.65
Eredivisie,2021,610,Ajax Amsterdam,420215,Nordin Musampa,Centre-Back,20,0.5
Eredivisie,2021,610,Ajax Amsterdam,559327,Youri Baas,Centre-Back,19,0.45
Eredivisie,2021,610,Ajax Amsterdam,131225,Nicolás Tagliafico,Left-Back,29,11.0
Eredivisie,2021,610,Ajax Amsterdam,485584,Anass Salah-Eddine,Left-Back,20,0.3
Eredivisie,2021,610,Ajax Amsterdam,420243,Jurriën Timber,Right-Back,21,35.0
Eredivisie,2021,610,Ajax Amsterdam,340456,Noussair Mazraoui,Right-Back,24,20.0
Eredivisie,2021,610,Ajax Amsterdam,557407,Devyne Rensch,Right-Back,19,8.0
Eredivisie,2021,610,Ajax Amsterdam,268113,Sean Klaiber,Right-Back,27,2.8
Eredivisie,2021,610,Ajax Amsterdam,478573,Ryan Gravenberch,Defensive Midfield,20,35.0
Eredivisie,2021,610,Ajax Amsterdam,401356,Edson Álvarez,Defensive Midfield,24,22.0
Eredivisie,2021,610,Ajax Amsterdam,559324,Youri Regeer,Defensive Midfield,18,2.4
Eredivisie,2021,610,Ajax Amsterdam,412945,Enric Llansana,Defensive Midfield,21,0.4
Eredivisie,2021,610,Ajax Amsterdam,182932,Davy Klaassen,Central Midfield,29,14.0
Eredivisie,2021,610,Ajax Amsterdam,470394,Kenneth Taylor,Central Midfield,20,4.5
Eredivisie,2021,610,Ajax Amsterdam,361068,Jurgen Ekkelenkamp,Central Midfield,22,3.5
Eredivisie,2021,610,Ajax Amsterdam,559333,Kian Fitz-Jim,Central Midfield,18,0.8
Eredivisie,2021,610,Ajax Amsterdam,36139,Dusan Tadic,Attacking Midfield,33,12.0
Eredivisie,2021,610,Ajax Amsterdam,503638,Mohamed Ihattaren,Attacking Midfield,20,5.0
Eredivisie,2021,610,Ajax Amsterdam,123349,Zakaria Labyad,Attacking Midfield,29,3.0
Eredivisie,2021,610,Ajax Amsterdam,400548,Victor Jensen,Attacking Midfield,22,0.8
Eredivisie,2021,610,Ajax Amsterdam,694186,Kristian Hlynsson,Attacking Midfield,18,0.45
Eredivisie,2021,610,Ajax Amsterdam,574385,Mohamed Daramy,Left Winger,20,6.0
Eredivisie,2021,610,Ajax Amsterdam,508639,Naci Ünüvar,Left Winger,19,3.5
Eredivisie,2021,610,Ajax Amsterdam,704773,Amourricho van Axel Dongen,Left Winger,17,0.5
Eredivisie,2021,610,Ajax Amsterdam,602105,Antony,Right Winger,22,35.0
Eredivisie,2021,610,Ajax Amsterdam,469822,David Neres,Right Winger,25,20.0
Eredivisie,2021,610,Ajax Amsterdam,129554,Steven Berghuis,Right Winger,30,14.0
Eredivisie,2021,610,Ajax Amsterdam,543499,Mohammed Kudus,Right Winger,21,10.0
Eredivisie,2021,610,Ajax Amsterdam,485582,Sontje Hansen,Right Winger,20,1.0
Eredivisie,2021,610,Ajax Amsterdam,572519,Ar'jany Martha,Right Winger,18,0.35
Eredivisie,2021,610,Ajax Amsterdam,181375,Sébastien Haller,Centre-Forward,28,35.0
Eredivisie,2021,610,Ajax Amsterdam,473169,Brian Brobbey,Centre-Forward,20,9.0
Eredivisie,2021,610,Ajax Amsterdam,519731,Danilo,Centre-Forward,23,4.0
Eredivisie,2021,383,PSV Eindhoven,333640,Joël Drommel,Goalkeeper,25,3.5
Eredivisie,2021,383,PSV Eindhoven,147051,Yvon Mvogo,Goalkeeper,28,2.8
Eredivisie,2021,383,PSV Eindhoven,453807,Vincent Müller,Goalkeeper,21,0.3
Eredivisie,2021,383,PSV Eindhoven,409490,Maxime Delanghe,Goalkeeper,21,0.3
Eredivisie,2021,383,PSV Eindhoven,654919,Kjell Peersman,Goalkeeper,18,0.2
Eredivisie,2021,383,PSV Eindhoven,559331,Aron van Lare,Goalkeeper,19,0.025
Eredivisie,2021,383,PSV Eindhoven,318508,Olivier Boscagli,Centre-Back,24,8.0
